"Yeah about 10 years ago I had a horrifying experience. It was 100% their fault but they hit the water barrels and survived. They had no injuries but they almost ran me off the road.	Oh that sounds awful! Sounds like you need to be more careful and check your water marks more often, that's a bad situation to be in."
"No I wasn't hit. It turned out they were drunk. I felt guilty but realized it was his fault.	It was your fault for being drunk. That doesn't make you a bad person."
"I don't know I was new to driving and hadn't experienced anything like that. I felt like my horn made him swerve into the water barrels.	Well, can you tell me about your experience? I think we swapped places	Yeah. What happened?"
"Oh my goodness, that's very scary! I hope you are okay now and the drunk driver was punished for his actions?	Well, the incident is over now and no one was seriously injured, but man was that scary. I was turning and about a corner and the car just went another way."
"I there, dont know what to do, jst broke up with my girlfirned, we were 8 years together	Oh no that is hard.  I'm so sorry.  I hope you two can be happy again soon!"
"Yes we decided together with our minds, and know i come home and feel so distant from the world	It will come, that is the truth. Everyone finds someone special and everyone elses fault"
"I couldn't wait to go to the concert.	What concert was it?"
"The U2 concert. Tickets were really expensive and I never thought we would be able to go, but somehow we did!!!	That is amazing.  I saw them a couple of years ago and always wished I could have gone.  It is always nice to go to a concert and have a great time."
"I'm so sad because i've read an article about a newborn girl who died because her parents didn't believe in medication and doctors	That's so sad to hear! Did the parents change their minds once she was born?"
"she was born premature at home, she had hard time breathing on her own but instead of taking her to the doctor parents were just praying	That's very fortunate. I'm sure she's in good hands now."
"yes! And i do believe in God and prayers but goodness gracious please take your children to the hospital and let God heal them THROUGH doctors	so my friend's baby fell down and scraped his knee yesterday and i was trying so hard to cheer him up	Oh no. Is he okay though?"
"i was singing nursery songs :)	Did someone sing you a song?"
"If you happy and you know it :)	my husband lost a job but i'm hoping he can find a full time job soon	I am sorry to hear that! I bet he is looking for something better."
"thank you so much!	Sure thing, no problem. Do you have a trick to overcome this phobia, or is it something you can naturally overcome?"
"he is an armed guard	i just moved to this neighborhood and some dumb criminals shot one of my neighbors and ran into the woods!	oh man i hear you.. scary stuff right there.. i hope no one got hurt"
"I do! I want to be able to protect my son	That is awesome. protection from what?"
"i'm so excited because i'm finally going to visit my parents next month! I didn't see them for 3 years	Oh that's awesome! Do you miss them?"
"I moved to the US and they stayed in my homecountry	That is great. What do you like about your country?"
"I was very angry when a co worker lied about a car accident to get out of working July 4th. I covered his shift till midnight and he was lying about the accident	Thats awful. Did he apologize?"
"Yeah he got caught in someones pics on Facebook. Never lie and then go out with people who like to take pictures.	That's awful! Was it a stranger or someone you knew?"
"Good idea. i don't like social media that much. It can get you in to trouble fast, even when expressing your opinions.	So yeah i drove 2 hours to get to wallmart. with 299 in my wallet as advertised, and the real price of the tv was 399 usd. what a bummer	That is a bummer, do you not like paying for convenience?"
"Yeah i had my hopes reall high and then i left empty handed, such a terrible feeling!	How did it feel?"
"Yes, i guess walmart and the rest of false advertisement in the US, the look in my daugther eyes when i came home empty handed	My friend's boyfriend recently made a pass at me. I'm married, and I also am really good friend's with his girlfriend so I felt really bad. I made sure he knew I was loyal and honest to both!	That's great that you took the stand. A friend can be a great influence."
"I struggled with it, but my friend was in a really bad spot, with no income and raising her grandchild, he was the financial supporter. So, I didn't tell her, as I knew it would really hurt her in several ways, plus she really loves him!	Oh wow, I'm glad you had the courage to tell her! You sound like a great friend."
"my baby is sleeping. it's so peaceful and quiet in this house	That sounds nice"
"i totally agree with you!	Are you happy or sad about it?"
"hi, i feel so lonely sometimes because all my friends live in a different country	Why don't you join one of your local clubs?"
"i was thinking about it! I wanted to join a group for local moms	Did you end up joining?"
"I have a friend that has a child that is unruly and does bad things. One day at our home, he grabbed a game and sat on it, instantly breaking it! It was expensive and this really irked me, especially because she doesn't discipline him when he does bad things.	That would be really annoying. And really unfair of her to demand you buy it back."
"Me either! I have two of my own children, and I would have never let them get away with that kind of behavior when they were his age. I just don't understand those kind of parents@!	Yeah it's really hard to be a parent.  You've got to have a plan for them to keep you grounded."
"I'm so scared of bugs! i found one in my hair yesterday and almost died	Gross! I hate bugs too."
"Ugh I hate bugs with a passion, they are so creepy	I recently spoke with my ex-girlfriend on the phone. The conversation went pretty well, and it reminded me of my past experiences with her.	It's nice to hear ex's make good conversation, what happened?"
"Yes, they ended somewhat well, but there were tense moments. I am glad she's doing well, but I miss her.	I understand,  everyone goes through tough times sometimes. But,  they'll get through it"
"Thank you! That means a lot.	One of the times I remember feeling the most blissed out in life was right after the birth of my first child.	Congrats! That is the best feeling, birth right?"
"Obviously there are the demands of a new child -- but that feeling of finally meeting someone you waited so long for, and the love surrounding the whole situation. Truly something to remember.	That is great, it is always nice to remember happy times"
"Have you ever been in a situation when payment of some kind has come through *just* in the nick of time?! Talk about gratitude!	I absolutely have. It is scary. I have delayed many projects due to various deadlines and my personal finances in a row, leaving me little savings and belongings to fend for myself. It was an extremely stressful time."
"Absolutely. You go from scared and desperate to grateful and optimistic in one quick moment! It's not a situation I wish to be in again.	That's quite an interesting situation. I guess I've never really been scared or worried about death before. I was more of a scared of the unknown. But I suppose there's no such a thing as too much anxiety. Glad you're happy now."
"Im so grateful for my family due to an incident with my friend	I'm sorry to hear about your friend's situation. What happened?"
"My friend lost her parents and siblings in a fire and their family was very close to mine. So seeing her go through the grief made me realize how thankful I should be	Oh no! Were you able to help?"
"Yes definitely. Never take anything for granted as you never know when it will be taken away from you	I'm a big believer in listening to your gut. Sometimes I might wonder where my intuition is leading me, but it always seems to be spot on.	thats great"
"It is a ""knowing"" -- and a flowing! When something is right, it just feels easier to go with it -- like you're being led, even if you might not fully know to where.	that's so awesome! i love it when something feels right"
"I couldnt celebrate my 18th birthday as I had exams during the time and I felt terrible for it. But my friends threw a surprise party for me and it was the best!	That sounds like it would be very fun. I am glad you had a fun time."
"I was studying in my bedroom for a couple of hours straight with headphones on and then my mom called me to the living room for dinner and when I went out the whole place was decorated and everyone was there	That is awesome that your mom was able to do that!  Was this a surprise?"
"I feel lonely sometimes cause I live in a house with 5 girls and all of them have boyfriends and sometimes they are all hanging out with their significant others and I feel lonely	I am sorry that you feel that way. Sometimes life can get in the way of making a connection"
"Sometimes they joke about it and obviously I make it look like its totally fine cause I dont want to give them the impression that I am lonely but it does hurt sometimes	I've felt that way as well. Sometimes it's hard to tell if somebody is being nice to you because they won't back down or if they're being rude!"
"As silly as it sounds, I was so surprised at how different my two kids were as babies. You're reminded that they're wired with their own personalities from the git-go.	That is a good way of looking at it."
